sch.SCRIPT_EVENT_DM_FINISHED, -153691430, -737127586, 1636044862, 1499741547, -243421234
sch.SCRIPT_EVENT_DM_BULLSHARK, -181048361, 562003300, -785697840, 619140567, -584633745
sch.SCRIPT_EVENT_RACE_FINISHED, 1403296706, 461320895, -918413734, 1239258806, -694832268
sch.SCRIPT_EVENT_HIT_TARGET, 33048456, -996925742, 1739704044, -393424858, 345763700
sch.SCRIPT_EVENT_RESET_TARGETS, -1627069275, -391151893, -1254747227, -340817932, -1842662384
sch.SCRIPT_EVENT_SET_ARENA_ANNOUNCER_SOUND_BS, 1579609637, 196055696, -290401917, 1355215196, -645482653
sch.SCRIPT_EVENT_FMMC_CLEAR_FIRE_EVENT, 1033173948, -397256754, -299190545, -1316585639, -862713486
sch.SCRIPT_EVENT_NOTIFY_DAMAGER_OF_FIRE_TRAP_DAMAGE, -1909265597, -1136672596, -1357080740, 1793801963, -2101783800
sch.SCRIPT_EVENT_NOTIFY_WANTED_SET_FOR_VEHICLE, 1702569334, -1516249149, -1076388355, 181324690, -1338841683
sch.SCRIPT_EVENT_FMMC_SET_VEHICLE_IMMOVABLE, 1697685780, 1810591647, -1510328072, -455279240, -216334921
sch.SCRIPT_EVENT_FMMC_REMOTE_VEHICLE_EXPLOSION, 1092559056, 112317556, 1821988700, 1588000307, 1185422646
sch.SCRIPT_EVENT_RACE_NJVS_VOTED, -861589405, 1344238021, -2113865699, -84084765, 1936952754
sch.SCRIPT_EVENT_RACE_RALLY_ARROWS, -1149735517, 1523231083, 1373056787, -1659479231, 1552761002
sch.SCRIPT_EVENT_DEV_SPECTATE_CONTINUE, 1955780855, 772702996, 809477078, 839656488, -2051624621
sch.SCRIPT_EVENT_DEV_SPECTATE_LBD_GO, -1061742115, 998429206, -30654421, -2085946131, 2008601170
sch.SCRIPT_EVENT_JOB_INTRO, -976319019, 867401339, -350337868, -566926315, 1219385733
sch.SCRIPT_EVENT_EXEC_DROP, -61520560, -1338419719, -420232228, 332606535, -1918866827
sch.SCRIPT_EVENT_BAG_DROP, 897454318, -396343788, 1685414890, -1390973750, -1275019346
sch.SCRIPT_EVENT_LEAVE_VEHICLE, 578856274, -714268990, -852914485, -1603050746, -503325966
sch.SCRIPT_EVENT_CLEANUP_PV, 1171686015, 502129530, -333917558, 1718315579, -306678306
sch.SCRIPT_EVENT_CLEANUP_TRUCK_CAB, -210719602, -1417625509, -644115601, 1009624147, 511118845
sch.SCRIPT_EVENT_CLEANUP_TRUCK_TRAILER, 613598296, 1848312823, 1875524648, -1082437939, -1857907332
sch.SCRIPT_EVENT_CLEANUP_AVENGER, -1895406474, 1264893833, 1765085190, -1506173414, 1794509667
sch.SCRIPT_EVENT_CLEANUP_HACKER_TRUCK, -727072915, 2135857273, -91833327, 51179849, 21877292
sch.SCRIPT_EVENT_CLEANUP_SUBMARINE, 1582169196, 1704319171, 886761285, -2133729680, 97609215
sch.SCRIPT_EVENT_CLEANUP_SUBMARINE_DINGHY, 911121765, 986542239, 1900384925, -2138309, 312122415
sch.SCRIPT_EVENT_DJ_CLUB_MUSIC_DATA, -350734161, -945048174, -1328646658, -379627559, 659755529
sch.SCRIPT_EVENT_CLEANUP_ACID_LAB, 634193035, 860242092, 1341999208, -1922129826, -825801109
sch.SCRIPT_EVENT_CLEANUP_SUPPORT_BIKE, 1777986727, 766722031, -1392241127, 2015698827, 70144883
sch.SCRIPT_EVENT_SET_PLAYER_ARRESTABLE, 1022066472, -487845573, 437043759, 354218804, -95607521
sch.SCRIPT_EVENT_SET_BOUNTY_ON_PLAYER, 1294995624, 1915499503, 1370461707, 1459520933, 1517551547
sch.SCRIPT_EVENT_BOUNTY_OVER, 354106306, -1413252009, 1813766002, 842813060, 2098360921
sch.SCRIPT_EVENT_LEAVE_BOUNTY, -1708014784, -356362650, -2107115109, -1072710332, -1886123256
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_QUERY_INT, -65587051, 614900610, -672300651, -548223392, 1269949700
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_QUERY_FLOAT, 1116398805, -786817413, 1009548335, 633704442, -1547064369
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_QUERY_BOOL, 1514515570, 1016286404, 2034045540, 1647782525, -2122488865
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_SEND_INT, -972519224, -1264175533, 217196385, -1110444502, 1786704858
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_SEND_FLOAT, 2100148373, 758867073, 1607508898, 586826411, -1654501984
sch.SCRIPT_EVENT_CHARACTER_STAT_DATA_SEND_BOOL, -1975131531, 1615479955, 1368347173, 1573290747, 1677702660
sch.SCRIPT_EVENT_PERSONAL_VEHICLE_STOLEN, -1026787486, -2126830022, -513394492, -2101545224, 109434679
sch.SCRIPT_EVENT_WAR, 604085314, 595995457, 576180237, 372575577, 1169945323
sch.SCRIPT_EVENT_SET_SHIPMENT_DOOR_LOCKSTATE, -1377654188, 523593677, 1609012674, 1721714875, 473977978
sch.SCRIPT_EVENT_BEHIND_POLICE_DOOR, -1940549869, -1498268964, 759947181, -1890303835, 1621405488
sch.SCRIPT_EVENT_OPEN_POLICE_DOOR, 117907989, 1907598855, -1453886599, 556620139, 1213173357
sch.SCRIPT_EVENT_BEHIND_PRISON_GATE, -1082034445, 1027443062, -399579221, 724601347, -472432012
sch.SCRIPT_EVENT_OPEN_PRISON_GATE, -632545229, 593477368, 492058803, 2072192532, 542081926
sch.SCRIPT_EVENT_PROPERTY_TAKEOVER, 1973701439, -837339381, -2058685153, 1190354019, 236974293
sch.SCRIPT_EVENT_SET_TEAM_TARGET_TERRITORY, 906697969, 365841180, -550869620, -662671303, 1693450033
sch.SCRIPT_EVENT_FMMC_OBJECTIVE_COMPLETE, 110452282, -825442862, 1840278990, 1254901386, -1849280215
sch.SCRIPT_EVENT_NETWORK_INDEX_FOR_LATER_RULE, 1895932578, -334478927, 311990534, 1264591680, 681303157
sch.SCRIPT_EVENT_BMB_BOMB_PLACED, 539614763, 896603399, 369276935, 412926310, -242068405
sch.SCRIPT_EVENT_BMB_PICKUP_CREATED, -753631139, -1978179573, -240523884, -536183931, 1973676008
sch.SCRIPT_EVENT_BMB_PROP_DESTROY, 674100735, 564760303, -1058837816, 549637254, -1191891172
sch.SCRIPT_EVENT_FMMC_PLAYER_CROSSED_THE_LINE, 73045421, -866416192, 1181486921, 327525155, -1907551039
sch.SCRIPT_EVENT_FMMC_PLAYER_IS_SWAN_DIVE_SCORING, 617790325, 58827198, -206157568, -834395791, -1048869137
sch.SCRIPT_EVENT_RANDOM_SPAWN_SLOT_USED, 934236688, -1684073224, -1553905503, 1702308864, -928610258
sch.SCRIPT_EVENT_PRON_PLAYERS_DRAWING_TRAILS, 1846373299, -133406896, -1956563057, 246521683, 32012762
sch.SCRIPT_EVENT_FMMC_TRIGGERED_BODY_SCANNER, 254898905, 1240056714, 2130690668, -1401441171, 1100337345
sch.SCRIPT_EVENT_FMMC_OBJECTIVE_END_MESSAGE, -804632920, 680595547, 1992682377, 1321731454, -116775390
sch.SCRIPT_EVENT_FMMC_PLAYER_KNOCKED_OUT, 554444615, 1536676202, 1362285999, 1481661951, -1973211860
sch.SCRIPT_EVENT_FMMC_PLAYER_KNOCKED_OUT_NOISE, -24428102, 1463597307, 1556222686, -1995976272, -1261519271
sch.SCRIPT_EVENT_FMMC_PLAYER_SWITCHED_TEAMS, -904601342, 72337390, -1621265056, 183513854, 1554913608
sch.SCRIPT_EVENT_FMMC_PED_GIVEN_GUNONRULE, -1652457633, -1208645566, -1613195330, -1596893841, -517172617
sch.SCRIPT_EVENT_FMMC_PED_COMBAT_STYLE_CHANGED, -1529574339, -1695802831, -328493011, 1192413413, -688408229
sch.SCRIPT_EVENT_FMMC_PED_WAITING_AFTER_GOTO, 523304777, 211196024, -2061708348, -2004333433, -556896699
sch.SCRIPT_EVENT_FMMC_PED_DONE_WAITING_AFTER_GOTO, 1114831045, 1708244131, -1416211074, -425586901, -251385090
sch.SCRIPT_EVENT_FMMC_PED_CLEAR_GOTO_WAITING_STATE, 1745714229, 1477682060, -579647155, -1089720905, -860190766
sch.SCRIPT_EVENT_FMMC_PED_DEFENSIVE_AREA_GOTO_CLEANED_UP, 539697103, -1750184395, 535956957, -1351765750, -1077769870
sch.SCRIPT_EVENT_FMMC_PED_DIRTY_FLAG_SET, -1365661701, -538862231, -1955216547, -670233589, 632558101
sch.SCRIPT_EVENT_FMMC_ANIM_STARTED, 1997531551, -1528294114, -1293615707, 1921883530, -743218354
sch.SCRIPT_EVENT_FMMC_ANIM_STOPPED, -1385776290, 437885653, 74873369, -108828556, -487774749
sch.SCRIPT_EVENT_FMMC_SECONDARY_ANIM_CLEANUP, 1757090481, -1559932937, 557471506, -221642241, 354129590
sch.SCRIPT_EVENT_FMMC_TREVOR_BODHI_BREAKOUT_SYNCH_SCENE_ID, 1333233696, -1306240229, -1467554540, -1565101972, -207816074
sch.SCRIPT_EVENT_FMMC_GO_FOUNDRY_HOSTAGE_SYNCH_SCENE_ID, 584768850, -1949654184, 261109259, -1474887594, -92159980
sch.SCRIPT_EVENT_FMMC_PED_INVENTORY_CLEANUP, -444309930, -829299963, 741877256, 685828388, 1168334649
sch.SCRIPT_EVENT_FMMC_REMOVE_PED_FROM_GROUP, -1690167358, -555865863, -611432215, -1188135958, -1203749370
sch.SCRIPT_EVENT_FMMC_PED_SUCCESSFULLY_REMOVED_FROM_GROUP, 61235060, 1326795812, 315470436, 1347054904, -493614734
sch.SCRIPT_EVENT_FMMC_PED_ADDED_TO_CC, 1898232489, -1201876030, -788784027, 1877323460, 2144138006
sch.SCRIPT_EVENT_FMMC_PED_ADDED_TO_CHARM, -981617309, 423358058, 397978420, 252636250, 1943072873
sch.SCRIPT_EVENT_FMMC_PED_REMOVED_FROM_CHARM, -669465703, -1215669527, 5575226, -328469851, 901809442
sch.SCRIPT_EVENT_FMMC_CC_NEW_PARTCONTROLLER, -1473533827, 79144273, 246743770, 399965115, -1788110225
sch.SCRIPT_EVENT_FMMC_CC_PED_BEATDOWN, -682979630, 617559585, -102108496, -1653469332, 976269167
sch.SCRIPT_EVENT_FMMC_CC_PED_BEATDOWN_CLEAR, -2083748735, -19294028, -1428238574, -950398411, 2065948146
sch.SCRIPT_EVENT_FMMC_CC_PED_BEATDOWN_HIT, 858335557, -259460692, 315068138, -136037758, -891053525
sch.SCRIPT_EVENT_FMMC_CC_FAIL, 1537672877, -1458976773, 113164089, 336100684, -1928082281
sch.SCRIPT_EVENT_FMMC_CC_DIALOGUE_CLIENT_TO_HOST, 1918903760, -688327008, 998745521, -1324462798, 1791132025
